City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
226,funafuti,-8.5243,179.1942,28.2,77,93,5.02,TV,1693148405
227,reggane,26.7158,0.1714,43.84,13,18,2.35,DZ,1693148406
228,fisterra,42.9049,-9.2629,22.64,74,78,8.22,ES,1693148406
229,keflavik,64.0049,-22.5624,13.24,76,75,6.69,IS,1693148407
230,susuman,62.7833,148.1667,8.4,74,98,1.67,RU,1693148408
231,qingyuan,23.7,113.0333,29.99,90,100,1.36,CN,1693148408
232,muynoq,43.7683,59.0214,21.2,28,61,5.21,UZ,1693148409
233,jinchang,38.4953,102.1739,20.57,36,0,6.15,CN,1693148409
234,geraldton,-28.7667,114.6,12.23,94,75,3.6,AU,1693148201
235,hithadhoo,-0.6,73.0833,28.36,73,97,2.15,MV,1693148410
236,kota kinabalu,5.9749,116.0724,26.99,83,20,2.68,MY,1693148172
237,caleta de carquin,-11.0925,-77.6267,20.98,72,30,3.16,PE,1693148411
238,budleigh salterton,50.6298,-3.3218,18.57,76,75,6.17,GB,1693148411
239,callao,-12.0667,-77.15,22.62,77,30,3.58,PE,1693148412
240,myeik,12.4333,98.6,26.3,87,100,1.99,MM,1693148412
241,road town,18.4167,-64.6167,29.18,75,98,5.57,VG,1693148413
242,pacocha,-17.5833,-71.3333,20.39,64,24,3.28,PE,1693148413
243,malax,62.9423,21.5731,14.43,89,75,5.14,FI,1693148414
244,sao joao da barra,-21.6403,-41.0511,18.58,85,100,4.28,BR,1693148415
245,ivanteyevka,55.9711,37.9208,20.81,58,74,0.89,RU,1693148415
246,banda aceh,5.5577,95.3222,26.95,80,68,2.64,ID,1693148169
247,tsiombe,-25.3,45.4833,21.24,81,46,5.56,MG,1693148416
248,kapoeta,4.7717,33.5903,35.32,21,7,6.14,SS,1693148417
249,kayangel,8.0823,134.7173,27.87,83,85,6.74,PW,1693148417
250,popondetta,-8.7537,148.2534,23.13,93,100,0.44,PG,1693148418
251,mount pearl,47.5166,-52.7813,20.47,78,98,3.58,CA,1693148418
252,karasu,41.071,30.7854,25.64,67,0,7.27,TR,1693148418
253,necochea,-38.5473,-58.7368,11.45,51,0,4.91,AR,1693148419
254,aktau,43.65,51.2,24.32,47,13,4.69,KZ,1693148419
255,launceston,-41.45,147.1667,6.2,93,40,3.09,AU,1693148366
256,guerrero negro,27.9769,-114.0611,21.58,79,10,3.2,MX,1693148420
257,palmas,-10.2128,-48.3603,34.48,38,53,1.52,BR,1693148420
258,sorong,-0.8833,131.25,25.58,90,82,6.5,ID,1693148421
259,jamaame,0.0697,42.745,26.15,77,10,6.26,SO,1693148421
260,tura,25.5198,90.2201,23.17,95,100,1.75,IN,1693148422
261,hadibu,12.65,54.0333,27.06,78,100,7.15,YE,1693148422
262,isangel,-19.55,169.2667,20.28,83,100,6.26,VU,1693148422
263,fale old settlement,-9.3852,-171.2468,27.65,75,84,4.35,TK,1693148423
264,mar del plata,-38.0023,-57.5575,10.63,61,0,7.6,AR,1693148423
265,fort bragg,35.139,-79.006,31.91,65,0,1.79,US,1693148424
266,kyzylorda,44.8528,65.5092,21.01,37,40,5.0,KZ,1693148424
267,nova vicosa,-17.8919,-39.3719,23.36,85,100,5.17,BR,1693148425
268,macau,22.2006,113.5461,31.03,89,40,4.63,MO,1693148226
269,longmen,24.9597,118.0889,25.72,95,100,0.91,CN,1693148425
270,praia da vitoria,38.7333,-27.0667,23.0,72,87,7.27,PT,1693148426
271,son la,21.3167,103.9,22.79,94,100,0.99,VN,1693148402
272,gaspe,48.8334,-64.4819,17.58,66,51,4.78,CA,1693148426
273,nadi,-17.8,177.4167,21.4,82,100,3.58,FJ,1693148426
274,mazagao,-0.115,-51.2894,33.93,46,18,2.53,BR,1693148427
275,itoman,26.1247,127.6694,28.01,83,20,2.06,JP,1693148427
276,puntarenas,9.9763,-84.8384,28.73,77,83,1.74,CR,1693148427
277,pangkalanbuun,-2.6833,111.6167,24.33,81,67,1.44,ID,1693148427
278,sola,-13.8833,167.55,24.67,72,100,9.16,VU,1693148428
279,chokwe,-24.5333,32.9833,21.44,49,4,6.36,MZ,1693148428
280,vilyuchinsk,52.9306,158.4028,12.15,78,100,1.76,RU,1693148321
281,craig,40.5153,-107.5464,19.79,41,86,2.05,US,1693148428
282,kuching,1.55,110.3333,28.34,95,40,1.03,MY,1693148350
283,nouadhibou,20.931,-17.0347,34.99,46,7,6.17,MR,1693148386
284,sinazongwe,-17.2614,27.4618,31.43,32,40,1.72,ZM,1693148429
285,alice springs,-23.7,133.8833,8.75,37,5,0.0,AU,1693148405
286,kpandae,8.4689,-0.0113,30.17,64,89,2.9,GH,1693148429
287,avarua,-21.2078,-159.775,22.03,73,40,4.12,CK,1693148429
288,ola,59.5833,151.2833,9.78,88,18,0.28,RU,1693148430
289,phalaborwa,-23.943,31.1411,22.6,27,3,6.31,ZA,1693148430
290,miramichi,47.0043,-65.4654,20.98,57,45,2.45,CA,1693148430
291,bogale,16.2833,95.4,26.1,90,78,2.95,MM,1693148431
292,hilo,19.7297,-155.09,22.57,91,71,2.68,US,1693148431
293,enewetak,11.3474,162.3373,27.08,83,100,8.77,MH,1693148431
294,vila do maio,15.1333,-23.2167,28.08,71,71,2.53,CV,1693148431
295,fortuna,40.5982,-124.1573,14.08,96,100,0.0,US,1693148432
296,kourou,5.1552,-52.6478,32.03,58,11,4.13,GF,1693148432
297,castillos,-34.1667,-53.8333,10.78,47,1,4.06,UY,1693148433
298,sal rei,16.1833,-22.9167,27.96,78,8,5.06,CV,1693148433
299,cidreira,-30.1811,-50.2056,13.53,47,5,4.7,BR,1693148433
300,khandyga,62.6667,135.6,10.87,89,51,1.55,RU,1693148433
301,maceio,-9.6658,-35.7353,30.69,62,40,4.12,BR,1693148434
302,fada,9.5667,8.3,23.27,83,99,1.19,NG,1693148434
303,ma'rib,15.4591,45.3253,37.03,14,58,6.67,YE,1693148434
304,horta,38.5333,-28.6333,23.9,84,40,11.32,PT,1693148435
305,maridi,4.9158,29.4742,31.01,48,57,1.39,SS,1693148435
306,dinguiraye,11.3,-10.7167,28.35,71,66,2.07,GN,1693148435
307,alton north (historical),26.2953,-98.3045,31.63,74,61,0.89,US,1693148436
308,quepos,9.4236,-84.1652,28.89,75,72,1.04,CR,1693148436
309,kununurra,-15.7667,128.7333,17.99,68,6,0.0,AU,1693148236
310,buzuluk,52.7807,52.2635,15.22,67,100,5.1,RU,1693148437
311,seydi,39.4816,62.9137,23.45,21,3,5.95,TM,1693148437
312,carolina beach,34.0352,-77.8936,33.38,69,35,1.99,US,1693148437
313,tsengel,49.4783,100.8894,15.74,75,67,1.4,MN,1693148438
314,roha,18.4333,73.1167,25.01,87,10,0.57,IN,1693148438
315,rakops,-21.0167,24.3333,24.81,31,23,8.11,BW,1693148439
316,kapelle,50.9998,2.3585,21.14,56,11,1.79,FR,1693148439
317,ghadamis,30.1337,9.5007,43.25,11,92,4.41,LY,1693148439
318,kill devil hills,36.0307,-75.676,31.0,83,40,6.17,US,1693148439
319,kuqa,41.7278,82.9364,28.84,18,66,1.72,CN,1693148439
320,kavaratti,10.5669,72.642,27.41,78,100,5.32,IN,1693148440
321,luderitz,-26.6481,15.1594,26.85,27,0,2.37,NA,1693148420
322,dubbo,-32.25,148.6167,11.07,66,100,3.6,AU,1693148227
323,port blair,11.6667,92.75,27.89,81,100,6.06,IN,1693148440
324,lisakovsk,52.5369,62.4936,13.98,60,93,0.97,KZ,1693148441
325,hoover,33.4054,-86.8114,34.75,65,41,0.45,US,1693148441
326,palikir - national government center,6.9248,158.1611,26.4,79,100,3.26,FM,1693148441
327,ulaangom,49.9811,92.0667,19.8,50,70,0.83,MN,1693148441
328,auki,-8.7676,160.7034,23.82,89,96,1.42,SB,1693148441
329,selfoss,63.9331,-20.9971,16.14,69,59,5.57,IS,1693148441
330,carovigno,40.708,17.655,32.0,35,0,6.01,IT,1693148442
331,jima abajo,19.1329,-70.3761,31.26,60,21,1.4,DO,1693148442
332,metlili chaamba,32.2667,3.6333,40.2,7,1,4.49,DZ,1693148442
333,atar,20.5169,-13.0499,44.3,8,5,7.93,MR,1693148443
334,tomatlan,19.9333,-105.25,26.84,82,89,0.37,MX,1693148443
335,kristiansund,63.1115,7.732,16.03,88,75,5.14,NO,1693148443
336,petropavlovsk-kamchatsky,53.0452,158.6483,12.41,81,100,1.74,RU,1693148444
337,betio village,1.358,172.9211,28.57,68,85,3.05,KI,1693148444
338,carnarvon,-24.8667,113.6333,20.17,63,0,4.06,AU,1693148444
339,rongelap,11.1635,166.8941,27.97,80,100,8.66,MH,1693148445
340,margate,51.3813,1.3862,19.94,62,55,3.13,GB,1693148445
341,plettenberg bay,-34.0527,23.3716,14.87,61,0,2.7,ZA,1693148445
342,yima,34.7381,111.8839,16.16,94,89,1.12,CN,1693148445
343,qusmuryn,52.4503,64.6311,14.72,51,55,4.27,KZ,1693148445
344,al artawiyah,26.5053,45.3444,40.17,9,10,4.27,SA,1693148446
345,san juan,-31.5375,-68.5364,13.25,41,0,2.53,AR,1693148446
346,farasan,16.7022,42.1183,31.62,81,86,5.24,SA,1693148446
347,neijiang,29.5835,105.0622,22.72,81,87,0.93,CN,1693148447
348,soe,-9.8607,124.284,16.39,88,38,2.59,ID,1693148447
349,mandalgovi,45.7625,106.2708,15.11,56,3,4.18,MN,1693148448
350,east ballina,-28.8667,153.5833,13.78,77,19,2.93,AU,1693148448
351,crane,31.3974,-102.3501,29.24,42,27,5.08,US,1693148448
352,tondano,1.3038,124.9112,24.05,91,39,2.38,ID,1693148448
353,awjilah,29.1081,21.2869,37.6,16,0,6.05,LY,1693148449
354,san luis de la loma,17.2706,-100.8939,28.51,72,20,1.34,MX,1693148449
355,kruisfontein,-34.0033,24.7314,16.6,52,7,2.46,ZA,1693148449
356,inarajan village,13.2736,144.7484,26.54,97,100,8.36,GU,1693148449
357,mont-tremblant,46.1949,-74.6264,17.98,47,11,3.47,CA,1693148450
358,fuerte olimpo,-21.0415,-57.8738,19.99,31,100,3.25,PY,1693148450
359,north battleford,52.7834,-108.2847,19.16,57,9,3.96,CA,1693148450
360,acarau,-2.8856,-40.12,31.9,52,2,7.22,BR,1693148451
361,seven pagodas,12.6264,80.1722,30.03,70,100,2.99,IN,1693148451
362,orange lake,41.5398,-74.0982,24.32,78,16,1.34,US,1693148452
